Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ibitinga (SP),372062,409794,449027,510238,600095,638869,687068,774682,861804,975236,1072960,1147203.0,1150260.0,1259738.0,1386536.0,1498941.0,1474395.0,1522377.0,1743690.0
Ibiúna (SP),376050,424231,450521,500368,541881,597856,645477,731874,785959,880026,1030388,1245072.0,1439464.0,1491949.0,1609143.0,1633246.0,1702009.0,1845824.0,2220621.0
Icém (SP),59258,55644,68922,69189,124398,100549,104914,108518,116631,113744,127851,151764.0,164179.0,400413.0,427520.0,181695.0,172917.0,168878.0,183279.0
Iepê (SP),52541,65708,65786,67036,76677,83807,90209,104769,103388,119340,145526,143427.0,166037.0,200933.0,243225.0,246502.0,242416.0,254802.0,367597.0
Igaraçu do Tietê (SP),87314,95244,96452,111459,123334,140050,140544,158635,182728,200987,210972,249460.0,250511.0,265586.0,285213.0,299164.0,303407.0,326760.0,350683.0
Igarapava (SP),217302,241300,302250,362789,346607,383584,423514,490270,506756,579025,658897,727728.0,1064565.0,1017074.0,1077508.0,1087990.0,1124126.0,1257340.0,1354386.0
Igaratá (SP),37025,43753,54376,52820,69435,77570,66814,75930,98324,114772,121706,145517.0,163414.0,162565.0,190819.0,213464.0,180310.0,210026.0,224387.0
Iguape (SP),114158,126680,139164,165125,188645,190802,199006,222443,269466,835028,1123169,1345168.0,1653998.0,1110532.0,622636.0,809931.0,1169950.0,1260303.0,1080388.0
Ilhabela (SP),136315,157857,179734,207393,247155,267458,291897,340010,372952,829567,1156934,3264083.0,6769250.0,7266198.0,2912547.0,6166979.0,14400916.0,14965490.0,10752020.0
Ilha Comprida (SP),44558,47460,50256,59758,69954,75045,80177,83508,87402,92753,1399076,2406320.0,3818407.0,1861022.0,551946.0,693559.0,1339944.0,1045503.0,768971.0
Ilha Solteira (SP),250841,266977,206863,227527,228501,250202,276547,303738,325537,387160,440603,465134.0,502395.0,527009.0,583838.0,627307.0,616571.0,654951.0,678420.0
Indaiatuba (SP),2342315,2836067,3637465,4227252,4478994,5110164,6064394,6640359,7651292,8136871,9224057,10567800.0,11784749.0,11634861.0,12282381.0,14024836.0,15595708.0,16712153.0,18344473.0
Indiana (SP),20106,21482,22619,26402,29127,33230,35376,39391,39776,41525,43869,50929.0,56865.0,59362.0,59913.0,61715.0,60872.0,72599.0,84037.0
Indiaporã (SP),24031,28072,28685,30046,31937,36531,42584,45812,48933,48506,57774,63246.0,63023.0,65326.0,77866.0,94264.0,94297.0,91983.0,104729.0
Inúbia Paulista (SP),33754,36666,39490,47369,55710,63428,65798,72882,77988,84808,97556,112606.0,117682.0,120281.0,102141.0,140367.0,138251.0,133455.0,125745.0
Ipaussu (SP),95570,113209,120299,112798,163887,144686,156554,174630,230949,217788,265446,293652.0,312896.0,329988.0,342572.0,383774.0,308572.0,389616.0,448605.0
Iperó (SP),131410,159277,187078,212356,230769,287713,340451,304848,331074,385473,363625,417024.0,440899.0,441638.0,512368.0,590074.0,647639.0,684198.0,796373.0
Ipeúna (SP),61138,68619,73930,80053,99320,109419,146547,163924,200670,183409,202777,555357.0,588841.0,588471.0,671436.0,821466.0,427125.0,687092.0,914749.0
Ipiguá (SP),33546,34424,31116,33425,35754,42901,40518,47561,51780,47737,50938,60618.0,66648.0,74075.0,96444.0,110044.0,105479.0,107269.0,113165.0
Iporanga (SP),12128,13782,16313,18256,20113,23334,25001,23586,23715,25699,28763,37240.0,41960.0,39373.0,47286.0,51779.0,51220.0,57933.0,63488.0
Ipuã (SP),140993,156897,164453,157446,202025,207614,192176,245422,208809,264174,273214,276359.0,290356.0,296800.0,351576.0,399547.0,335037.0,385725.0,445205.0
Iracemápolis (SP),178149,208326,215113,239593,280070,278005,326680,382539,381531,451852,489414,528247.0,922800.0,1750343.0,1418741.0,1862156.0,7046681.0,2008031.0,2067562.0
Irapuã (SP),48078,49056,48082,56392,67871,73476,77218,89870,73950,80797,88320,97386.0,106877.0,102113.0,149445.0,147399.0,156608.0,162372.0,174047.0
Irapuru (SP),26714,29790,29101,34771,50353,55377,58059,77251,66006,72048,66967,70983.0,75292.0,79185.0,85254.0,86284.0,88046.0,95993.0,104357.0
Itaberá (SP),109192,114608,129976,146396,149086,191586,234744,270069,199840,189515,297216,288576.0,399109.0,575688.0,572757.0,537572.0,520127.0,595047.0,789730.0
Itaí (SP),148049,164749,176669,173190,212540,242967,238676,272085,308174,342608,387808,436716.0,487267.0,662244.0,592185.0,580758.0,600438.0,729559.0,905343.0
Itajobi (SP),120857,135494,130554,141279,153243,144597,185241,212247,240782,256458,299094,395822.0,442733.0,445811.0,673051.0,1302755.0,1047794.0,600708.0,915348.0
Itaju (SP),28923,30839,25271,35024,44063,52832,35461,41919,47221,60482,52710,50937.0,63154.0,69531.0,109144.0,109774.0,87301.0,99450.0,96459.0
Itanhaém (SP),378740,407567,460594,510083,548961,583636,692192,774013,869873,960415,1099045,1318124.0,1418134.0,1518089.0,1608296.0,1849471.0,1884279.0,2040287.0,2195871.0
Itaoca (SP),9754,10782,11782,12918,15858,19981,18791,21009,18788,24563,25739,30391.0,32268.0,34173.0,37720.0,39835.0,41251.0,42506.0,48512.0
Itapecerica da Serra (SP),795906,1058258,1204651,1300786,1387933,1488513,1871858,2088164,2366613,2598926,2635127,2772350.0,3228889.0,3805032.0,3143513.0,3234881.0,3652424.0,3881276.0,4331368.0
Itapetininga (SP),1102900,1374608,1558060,1733185,1838502,2114503,2228853,2370865,2574007,2976884,3124120,3566470.0,3888144.0,4350135.0,4187367.0,4330170.0,4751790.0,4905433.0,5332509.0
Itapeva (SP),561452,665491,762529,806393,844883,1005984,1097289,1272996,1175017,1328120,1498083,1768100.0,1965451.0,2269032.0,2447764.0,2381115.0,2519681.0,2969803.0,4111522.0
Itapevi (SP),1062833,1327482,1577449,1802101,2012069,2049741,2795195,3637072,5220158,5916312,7088169,7852450.0,9790031.0,10934781.0,11272547.0,11253728.0,12156244.0,12051610.0,12584181.0
Itapira (SP),842168,991092,1068567,1216026,1334134,1457113,1635371,1719069,1924254,2177232,2401819,2678366.0,3000433.0,3035931.0,3302774.0,3463541.0,3905334.0,3850784.0,4132858.0
Itapirapuã Paulista (SP),11481,12307,14626,14272,16810,21234,19393,20377,19686,21809,25048,27508.0,30316.0,31614.0,36525.0,39211.0,42038.0,45722.0,48697.0
Itápolis (SP),369394,404231,377786,430419,484596,554261,586436,695972,850560,1043624,1174686,1168562.0,1198765.0,1193303.0,1198133.0,1363657.0,1308426.0,1336191.0,1564823.0
Itaporanga (SP),53192,59949,62235,65971,72910,83818,91469,104875,107650,121952,139874,154566.0,188607.0,213825.0,284676.0,303462.0,326717.0,297558.0,386450.0
Itapuí (SP),87649,97510,102112,128326,141756,183464,201899,224784,298928,354713,422143,428875.0,519231.0,588701.0,555313.0,650878.0,549157.0,712933.0,871498.0
Itapura (SP),20164,22441,23107,28625,31075,33746,37411,59920,56901,82104,67150,70652.0,66482.0,80574.0,97977.0,105461.0,91415.0,95346.0,107150.0
Itaquaquecetuba (SP),1119153,1284502,1442899,1606231,1888940,2224749,2452457,2735523,3222392,3688565,4071385,4878906.0,5891972.0,6409765.0,6520878.0,6993619.0,7207226.0,7659308.0,7671902.0
Itararé (SP),289058,353239,337608,418337,427187,464618,470353,491365,487568,534167,574374,670051.0,737086.0,840899.0,886623.0,884729.0,878650.0,947263.0,1104136.0
Itariri (SP),74354,70856,88149,76368,88015,88965,100651,106451,108959,117398,129829,176973.0,208613.0,201618.0,234429.0,269212.0,275876.0,330154.0,357331.0
Itatiba (SP),1479084,1646381,1860557,1951188,2048633,2350431,2479056,2835761,3394630,3796003,3921298,4556482.0,5119386.0,5070637.0,5387046.0,5506722.0,6050786.0,6397776.0,7161563.0
Itatinga (SP),81905,92321,91139,101305,121214,156766,149184,186389,182573,201703,195148,199576.0,242893.0,227905.0,276455.0,326147.0,407873.0,401125.0,427720.0
Itirapina (SP),96252,120167,168970,153701,240375,325484,341769,349261,339110,317487,278331,297670.0,354193.0,402728.0,376687.0,384292.0,408476.0,721534.0,706030.0
Itirapuã (SP),21478,22449,27858,29508,32806,46333,43545,41379,44491,46408,69487,65060.0,78263.0,67198.0,80669.0,80120.0,97579.0,103757.0,132522.0
Itobi (SP),33052,34852,39642,43124,45239,50868,48480,55609,53999,62237,79038,88289.0,97910.0,113052.0,130290.0,123813.0,124359.0,138763.0,157855.0
Itu (SP),1838684,2146752,2541865,2796739,3262593,3724722,3962866,4731848,4633757,5603646,6110210,7159752.0,7080255.0,7310769.0,7551211.0,7388792.0,7828785.0,8776791.0,9209595.0
Itupeva (SP),596565,717940,834777,815950,947056,1241910,1340503,1711660,2304036,2460666,2772567,3190414.0,3653560.0,4355224.0,5042657.0,5913535.0,6687651.0,7374829.0,8498523.0
Ituverava (SP),292373,325758,383764,377250,414200,472600,493705,637391,629152,741101,857082,1017538.0,1081672.0,1092701.0,1489976.0,1557919.0,1523782.0,1587623.0,1809032.0
Jaborandi (SP),72021,73361,71683,68130,91976,76711,68076,99718,105625,96941,107168,119923.0,114371.0,116465.0,137557.0,145282.0,136798.0,138203.0,153343.0
Jaboticabal (SP),714627,790993,834007,991766,1100244,1157561,1258867,1405351,1637690,1857528,2014068,2113079.0,2340380.0,2457419.0,2594417.0,2743497.0,2906736.0,2951774.0,3170163.0
Jacareí (SP),3224944,3759952,4133298,4246453,4776217,5181729,5679406,5941563,6682819,7323540,7652041,8390721.0,9320785.0,9954837.0,10535706.0,11268777.0,12783342.0,13402133.0,14114972.0
Jaci (SP),77574,94345,114732,135770,142162,151007,168086,166776,246362,279160,299934,306988.0,324528.0,355749.0,292282.0,382365.0,390645.0,448253.0,559307.0
Jacupiranga (SP),86400,100846,101649,115692,128643,134938,159583,184285,274930,246788,283796,275123.0,345122.0,352255.0,517714.0,599589.0,523737.0,489905.0,519612.0
Jaguariúna (SP),1439442,2135136,2533533,2691982,2493154,2767079,3096200,3353476,4104913,4290063,4166854,5784633.0,7891443.0,8891753.0,9676636.0,11282723.0,11509488.0,12010664.0,11504187.0
Jales (SP),351955,404619,456155,506485,494412,569853,550443,607863,748345,806833,917211,1059945.0,1083296.0,1240867.0,1265685.0,1373537.0,1546778.0,1621210.0,1773928.0
Jambeiro (SP),80774,91993,110613,105399,113686,127353,162670,164126,203380,226602,252751,286528.0,299686.0,275986.0,208014.0,217160.0,235651.0,256989.0,269801.0
Jandira (SP),806259,967187,1095581,1204825,1267069,1529252,1702651,1723745,2049050,2240429,2414877,2637676.0,3315502.0,3131193.0,3560083.0,4088302.0,4006575.0,4159068.0,4596897.0
Jardinópolis (SP),270186,291201,279426,325428,372405,396399,420798,507480,521471,575475,685563,773101.0,900226.0,919022.0,968776.0,1109818.0,1085397.0,1218616.0,1384172.0
Jarinu (SP),128319,167041,183026,248475,272283,299168,375449,440374,496630,622923,706948,996067.0,1806263.0,1774878.0,2140916.0,2252918.0,2510783.0,2524225.0,2603549.0
Jaú (SP),1066192,1187375,1282049,1419778,1626749,1754443,1876119,2145115,2548016,2969053,3219076,3628475.0,3656519.0,4033506.0,4294014.0,4582888.0,4729981.0,4909728.0,5051021.0
Jeriquara (SP),31324,29816,30022,33513,41437,56460,45088,49735,45615,41709,59613,70015.0,75582.0,70833.0,101694.0,81958.0,80892.0,105027.0,131524.0
Joanópolis (SP),49538,59465,56659,61865,70500,78725,86020,94394,103223,115971,128146,154252.0,174871.0,186473.0,203196.0,203316.0,213015.0,212996.0,231982.0
João Ramalho (SP),41258,48354,45410,52326,56987,62773,66034,96602,87283,107909,104637,129761.0,124120.0,132780.0,157043.0,183608.0,120762.0,126986.0,131712.0
José Bonifácio (SP),310307,353449,378818,407861,380155,453153,536256,618585,636119,735941,874485,955253.0,1123796.0,1104785.0,1241724.0,1380626.0,1320864.0,1263915.0,1340586.0
Júlio Mesquita (SP),15452,16075,16205,19236,21941,24781,24112,27418,30279,35372,34742,38081.0,42253.0,45107.0,51051.0,51592.0,51094.0,53622.0,56184.0
Jumirim (SP),20756,24047,23763,27920,31934,32684,32039,33329,43549,53412,60655,66765.0,70523.0,68106.0,94815.0,108251.0,111324.0,141238.0,172324.0
Jundiaí (SP),7130873,8680592,10800016,11906048,13381272,16611104,18482169,18906355,23155495,26571865,30683516,34448150.0,39006820.0,39080475.0,40317016.0,41084447.0,43630306.0,46959283.0,51235050.0
Junqueirópolis (SP),87194,104086,111320,131526,163180,193589,207937,226099,320339,319585,354857,418488.0,501827.0,867847.0,561346.0,586279.0,572500.0,674238.0,740517.0
Juquiá (SP),93898,94364,107511,122703,142578,138252,126236,153906,216173,194984,242682,217924.0,270093.0,254698.0,351570.0,359394.0,328747.0,347021.0,361212.0
Juquitiba (SP),206202,211514,263259,279994,264737,301221,287142,267863,299824,327640,353697,411200.0,425224.0,441996.0,450954.0,485984.0,514648.0,547626.0,547312.0
Lagoinha (SP),20533,20496,18589,22560,25423,29586,34555,39228,40068,35865,40199,46266.0,51196.0,54422.0,56230.0,56291.0,56505.0,61898.0,69423.0
Laranjal Paulista (SP),220777,263613,283166,335041,375526,395375,451196,505798,558348,614958,663833,701820.0,746421.0,764656.0,923461.0,990804.0,1107570.0,1150212.0,1253935.0
Lavínia (SP),39183,44196,40725,51540,60152,64006,84414,106210,96045,123107,115262,124419.0,127642.0,118397.0,147027.0,147649.0,157207.0,155684.0,182200.0
Lavrinhas (SP),31442,36468,42206,49515,59557,62104,69344,75623,76796,82387,91438,98871.0,104668.0,98157.0,107535.0,100542.0,109514.0,103337.0,120678.0
Leme (SP),590529,652584,680462,807628,952026,1094186,1211597,1537247,1634523,1889032,2098799,2305655.0,2544669.0,2773540.0,3004229.0,2966166.0,3204480.0,3377382.0,3767429.0
Lençóis Paulista (SP),625928,727801,740426,812317,1108066,1203807,1368010,1506604,1573990,1783348,1930842,2155406.0,2154982.0,2124175.0,2566511.0,2589639.0,2638583.0,3077313.0,4257630.0
Limeira (SP),3127314,3661435,4126180,4853751,5522457,6359073,6694116,6583091,7629913,8630369,9419354,10749037.0,11193406.0,10520692.0,11781232.0,12106211.0,13267664.0,13798073.0,13702173.0
Lindóia (SP),35969,38163,36735,44790,49360,58616,58112,64689,70101,81241,95439,112913.0,133968.0,145741.0,160280.0,173414.0,169016.0,196149.0,220924.0
Lins (SP),755598,867084,951730,1114049,1279175,1498387,2249193,2499884,2325825,2407052,2619278,2874972.0,3249095.0,4068604.0,3637863.0,3333630.0,3779078.0,5487012.0,6290471.0
Lorena (SP),620897,725654,818360,957598,1083837,1090710,1165035,1235046,1356605,1439347,1558601,1673966.0,1967574.0,2057021.0,2407535.0,2595033.0,2727418.0,2923506.0,3104753.0
Lourdes (SP),16325,16091,13854,16868,17772,21598,26684,32541,28408,29385,29359,31188.0,29867.0,32601.0,38816.0,39108.0,39993.0,35128.0,46224.0
Louveira (SP),987833,1260005,1356749,1535773,2361214,3758913,4097041,4197033,6027356,7033503,7946164,9098688.0,11915834.0,11938395.0,12432122.0,13229630.0,10960237.0,15916439.0,17852712.0
Lucélia (SP),108219,116585,122092,126529,155157,190099,217010,236929,267341,283426,304058,338349.0,363335.0,360646.0,400136.0,424803.0,441205.0,450828.0,516660.0
Lucianópolis (SP),12549,15326,14878,17773,20910,25532,26875,30433,23514,26430,28272,32829.0,37047.0,38047.0,53309.0,50297.0,56964.0,53919.0,75137.0
Luís Antônio (SP),495548,593855,555809,604684,717387,708239,666638,798436,775223,878060,1035843,1035995.0,1427438.0,939148.0,1223735.0,1399477.0,1451177.0,1434166.0,1450489.0
Luiziânia (SP),21204,23751,25905,27769,31352,41089,37995,42430,39492,45495,53617,54581.0,58597.0,60063.0,70758.0,70005.0,71747.0,75853.0,83669.0
Lupércio (SP),17172,18756,19946,24077,24406,28949,30579,32941,37476,37310,48803,43935.0,53149.0,48174.0,55201.0,73000.0,69762.0,80046.0,92684.0
Lutécia (SP),22867,25352,24443,26369,33062,39193,46270,50640,44020,46726,59167,73177.0,73742.0,77925.0,89044.0,94146.0,83143.0,75036.0,94683.0
Macatuba (SP),100876,107716,103418,114446,193741,175577,193316,241213,255047,289791,318564,340867.0,472251.0,560263.0,635707.0,598220.0,626971.0,657662.0,758206.0
Macaubal (SP),37468,39946,44706,50112,69638,57481,64951,98983,99163,103350,128757,129548.0,129319.0,132269.0,143616.0,156858.0,154752.0,170480.0,186630.0
Macedônia (SP),22637,30246,26974,29128,32211,34471,38741,41457,53531,42915,50064,53442.0,60279.0,62087.0,67011.0,76426.0,78370.0,75285.0,87067.0
Magda (SP),20961,23215,29167,26349,37401,43670,39855,54032,49121,67264,62800,71761.0,70679.0,67488.0,71323.0,105946.0,93131.0,95731.0,99704.0
Mairinque (SP),675489,821776,993729,875324,870199,969521,1152722,1159344,1171996,1409673,1559833,1501015.0,1548280.0,1629288.0,1478872.0,1704623.0,1894955.0,1956001.0,2144227.0
Mairiporã (SP),408664,464783,554993,609445,651711,723429,801187,948659,1116128,1235284,1297547,1449237.0,1511623.0,1549305.0,1637420.0,1774927.0,1745513.0,1829262.0,1931084.0
Manduri (SP),39577,46376,46345,52826,64133,62134,65797,71156,70868,88311,99199,145692.0,137230.0,154454.0,200645.0,204788.0,227691.0,228958.0,260130.0
Marabá Paulista (SP),33134,36042,34926,35444,52360,52398,70760,79814,100308,113155,107757,106306.0,132528.0,121003.0,124015.0,121307.0,101552.0,105085.0,122179.0
Maracaí (SP),232105,240270,181475,187061,195020,205719,240510,297354,315178,454603,390162,390004.0,395391.0,452594.0,411198.0,426000.0,380286.0,421422.0,497377.0
Marapoama (SP),25178,29879,28104,32606,43002,42703,44567,59733,94787,100302,101584,132969.0,149602.0,368912.0,164691.0,163920.0,177546.0,229125.0,295810.0
Mariápolis (SP),13752,15146,16152,18173,21769,24043,28137,36510,42737,32362,36982,52708.0,55008.0,52949.0,57102.0,61207.0,56747.0,58844.0,65623.0
Marília (SP),1839901,2108459,2282223,2492845,2759505,3099838,3504092,3995060,4551069,5083997,5770067,6432238.0,6541200.0,6925440.0,7161824.0,7741070.0,8077423.0,8398608.0,8700476.0
Marinópolis (SP),11243,14205,14796,14138,17629,16359,17471,19167,20451,19855,22167,24096.0,28549.0,28162.0,32912.0,35369.0,34702.0,37717.0,39819.0
Martinópolis (SP),126826,152703,167950,157960,170861,191476,188589,240772,259696,335058,377795,390770.0,429447.0,480792.0,525195.0,505031.0,495722.0,514053.0,674232.0
Matão (SP),1227824,1416129,1459555,1380219,1405743,1687851,1858081,1825440,2110727,2419710,2953976,3164344.0,3269449.0,3393154.0,3779668.0,4043395.0,4153528.0,3961591.0,4415471.0
Mauá (SP),3886495,4633684,5147944,5524969,5962360,6386846,7273015,7939876,9323424,9813108,9295360,10499354.0,11195882.0,11970001.0,14539610.0,16515697.0,15287804.0,16284223.0,17127383.0
Mendonça (SP),21699,23771,23722,28452,40653,57114,61789,101435,117038,143744,166472,172050.0,181185.0,188413.0,223284.0,265179.0,168970.0,230753.0,298917.0
Meridiano (SP),31002,39698,45909,41956,50995,44455,46494,54142,123092,123386,123658,209936.0,227871.0,646643.0,259436.0,259331.0,237768.0,317503.0,406438.0
Mesópolis (SP),12423,12997,13265,14612,16028,17650,19978,42747,49304,43367,41363,40611.0,42108.0,45155.0,51178.0,57669.0,58779.0,60896.0,74356.0
Miguelópolis (SP),290609,304373,339783,355304,412017,457353,398513,479712,492015,541075,620247,672953.0,575759.0,714336.0,1078024.0,1121579.0,1014994.0,837174.0,1047653.0
Mineiros do Tietê (SP),67906,67556,64446,75023,90180,94431,83991,95406,100130,120566,121665,136615.0,149086.0,144431.0,169082.0,182924.0,171971.0,176647.0,208464.0
Miracatu (SP),127282,133198,129954,171892,197331,190913,211468,242353,345359,350061,315617,437244.0,372491.0,381287.0,420539.0,428776.0,392129.0,414715.0,422678.0
Mira Estrela (SP),14920,17852,18502,19933,20144,24750,27913,30698,28362,32484,33967,39269.0,43675.0,46016.0,58422.0,67461.0,66335.0,67388.0,71547.0
Mirandópolis (SP),149391,164903,179554,186535,209429,224595,240400,262552,328816,412893,464531,544821.0,608442.0,554620.0,618432.0,607679.0,654029.0,652205.0,689323.0
Mirante do Paranapanema (SP),62886,69801,77293,86214,92933,100828,117571,139174,180862,212695,278194,298042.0,356262.0,748925.0,401367.0,388404.0,340730.0,438847.0,549595.0
Mirassol (SP),354421,408450,441310,510848,560145,675130,740248,797569,977181,1098015,1254672,1420623.0,1604177.0,1678531.0,1848213.0,1738043.0,1809538.0,1939816.0,2259474.0
Mirassolândia (SP),26802,29148,27872,29938,34695,37831,38836,40719,50768,50862,60945,65124.0,89431.0,71670.0,98645.0,115884.0,126701.0,175045.0,162533.0
Mococa (SP),536786,613793,665439,704012,772969,811262,866737,948256,1089746,1207461,1414142,1607624.0,1813988.0,1773303.0,2142378.0,2206331.0,2116602.0,2246444.0,2611201.0
Mogi das Cruzes (SP),3500158,3932913,4472689,4643487,4959921,5991176,7236798,7848028,9389909,10166359,11146730,12869867.0,13324951.0,14200700.0,14562664.0,14711581.0,15385841.0,16290277.0,16964027.0
Mogi Guaçu (SP),1971937,2245930,2379386,2471317,2711373,3232727,3247138,3304934,3593004,4005208,4432444,4790141.0,4999440.0,4850322.0,5350784.0,5602515.0,5923534.0,5769692.0,6168231.0
Mogi Mirim (SP),1067691,1239786,1438138,1629486,1784486,2006355,2255708,2539313,2761858,3058222,11927708,3632286.0,3772128.0,4071108.0,4276305.0,4415823.0,4597089.0,4855243.0,5044267.0
Mombuca (SP),21313,23724,21860,29965,30650,33086,35236,41226,44752,49187,55500,60233.0,57254.0,60811.0,88132.0,92656.0,99926.0,99338.0,100670.0
Monções (SP),12091,11696,14101,16457,26841,26698,33791,66792,63056,50154,75601,56932.0,66462.0,71988.0,72553.0,79089.0,52396.0,58764.0,64784.0
Mongaguá (SP),179569,190654,200858,242582,268208,296228,309990,400417,435874,496134,576832,698534.0,790803.0,862810.0,921508.0,1013267.0,1030295.0,1119727.0,1218645.0
Monte Alegre do Sul (SP),62971,62229,64149,77399,86820,128336,119342,106417,125375,151124,151648,151912.0,176825.0,179719.0,159986.0,165430.0,177980.0,193283.0,220385.0
Monte Alto (SP),384241,433498,505352,589135,658282,754691,817820,875311,1004634,1114111,1308174,1444219.0,1515381.0,1599188.0,1776016.0,1785482.0,1794560.0,2010940.0,2171450.0
Monte Aprazível (SP),210227,211897,237688,246474,339069,327283,362743,403858,409117,453393,519522,580018.0,580534.0,574072.0,662990.0,758349.0,575254.0,673475.0,726388.0
Monte Azul Paulista (SP),148876,166241,157450,162374,210356,204496,279823,204603,266527,277012,322911,352375.0,442513.0,441743.0,496776.0,584605.0,537430.0,565557.0,578990.0
Monte Castelo (SP),22405,24237,25763,27309,30101,39069,53090,59058,59665,58634,68884,74858.0,71858.0,82401.0,96713.0,103750.0,99950.0,99798.0,118889.0
Monteiro Lobato (SP),17303,21476,23770,26885,29957,34155,32921,36855,40125,38905,42623,50561.0,50356.0,54239.0,63948.0,62956.0,64799.0,65366.0,72884.0
Monte Mor (SP),812684,979650,1138659,1309603,1429467,1582476,1708036,1743026,1924685,2312969,2622766,2757657.0,2956455.0,2382924.0,2919105.0,2971932.0,3515136.0,3501214.0,3683620.0
Morro Agudo (SP),397189,468182,482174,521539,692290,614295,617959,713808,741486,816788,916567,1015886.0,1019583.0,1058652.0,1323971.0,1417196.0,953134.0,1085442.0,1329812.0
Morungaba (SP),192248,266125,196173,196375,201273,233364,236287,261919,328941,352524,374510,411255.0,431217.0,379309.0,440817.0,447153.0,450365.0,508599.0,551379.0
Motuca (SP),78602,100345,100963,98299,121418,120713,74156,79068,70839,73058,62921,66616.0,65298.0,70633.0,88986.0,85742.0,81619.0,87972.0,110809.0
Murutinga do Sul (SP),24534,26150,26189,29953,35037,42153,41656,56110,43860,45989,49271,52510.0,51628.0,53974.0,59131.0,59061.0,65259.0,72280.0,85270.0
Nantes (SP),20149,31121,28272,33888,46206,45768,54284,62015,55947,58841,71110,60780.0,77933.0,90275.0,145932.0,108437.0,117840.0,111071.0,126321.0
Narandiba (SP),19630,21395,25427,28491,40754,67018,79136,119471,127843,156104,158579,165729.0,207331.0,209307.0,214417.0,217325.0,148377.0,180721.0,262528.0
Natividade da Serra (SP),20060,21541,21682,27042,32954,42991,42467,43813,46471,49822,48498,54085.0,66533.0,63777.0,66550.0,70930.0,72424.0,73541.0,86047.0
Nazaré Paulista (SP),77423,87072,135722,157153,123876,143089,159335,178381,211669,215133,240960,289208.0,313226.0,296965.0,319183.0,349874.0,342044.0,365320.0,414384.0
Neves Paulista (SP),60447,60670,74912,78607,105089,110724,102003,126287,140229,153481,142099,150213.0,155830.0,163815.0,201373.0,219123.0,199172.0,229650.0,243933.0
Nhandeara (SP),66601,73222,82735,90475,96730,109346,126784,157166,185309,215443,235633,244526.0,243307.0,260358.0,289240.0,326412.0,324722.0,328812.0,353567.0
Nipoã (SP),22326,27132,28004,36972,53784,48245,48886,65910,65808,74488,74410,76594.0,83103.0,74913.0,79218.0,105013.0,93757.0,89867.0,92935.0
Nova Aliança (SP),26329,27371,32776,40070,50045,69930,64328,85101,67731,78593,82223,89026.0,90476.0,92788.0,169738.0,194162.0,149725.0,168676.0,232641.0
Nova Campina (SP),49810,60980,76002,83084,100168,140396,133727,167054,193882,304795,300815,339793.0,350252.0,259437.0,335431.0,235967.0,134085.0,126488.0,137403.0
Nova Canaã Paulista (SP),14031,16767,15370,15442,20761,22817,21834,25598,22721,24292,23425,25954.0,32350.0,30383.0,35852.0,36968.0,39509.0,38438.0,45893.0
Nova Castilho (SP),10030,11322,12750,12058,24105,25905,23468,29787,27841,30503,28663,32421.0,31155.0,31065.0,41416.0,39875.0,40600.0,46033.0,55116.0
Nova Europa (SP),56732,65067,63410,85300,96617,104597,97012,121166,185758,192745,262697,255606.0,273234.0,279752.0,308929.0,328378.0,199558.0,276586.0,347438.0
Nova Granada (SP),121172,123071,112347,121566,149340,163502,165108,200733,209746,229327,261771,291430.0,349151.0,340554.0,420200.0,458927.0,431863.0,435114.0,482455.0
Nova Guataporanga (SP),7908,8365,8535,9621,10134,11433,14038,14947,16634,17627,21043,25949.0,27041.0,27173.0,27200.0,29735.0,31179.0,33216.0,36375.0
Nova Independência (SP),14679,15584,17326,18855,31662,35296,40899,72413,58375,72348,68431,76158.0,84386.0,104951.0,122982.0,146415.0,135503.0,143175.0,185267.0
Novais (SP),28679,28167,24985,34743,29593,30730,30812,45573,41072,44962,52473,50050.0,45455.0,45978.0,48363.0,61366.0,58185.0,64890.0,75078.0
Nova Luzitânia (SP),12289,13043,12903,14538,16863,19335,22824,26639,27900,30949,32012,36687.0,36741.0,38410.0,42587.0,45517.0,49801.0,46234.0,54495.0
Nova Odessa (SP),587281,691964,808631,833220,930866,1016603,1118534,1329383,1598463,1828878,1985036,2294132.0,2647078.0,2604137.0,2980534.0,3166266.0,3522570.0,3893235.0,3647306.0
Novo Horizonte (SP),273025,293752,268389,325484,435927,378293,432911,505745,577510,646343,722201,787442.0,918645.0,1037124.0,1259295.0,1318549.0,1044975.0,1199447.0,1394319.0
Nuporanga (SP),91343,92753,113406,123462,143607,166840,154365,194613,291746,351457,381130,360199.0,379952.0,401937.0,517702.0,576476.0,369017.0,535988.0,723331.0
Ocauçu (SP),22488,25387,23777,31562,29354,35717,36519,38603,51945,50885,57062,75098.0,86137.0,82288.0,89318.0,135093.0,113100.0,109522.0,178952.0
Óleo (SP),20694,22882,21677,24410,27947,29858,28383,33507,30900,35418,39171,60506.0,77226.0,83199.0,89879.0,88493.0,83139.0,94003.0,128692.0
Olímpia (SP),475531,512698,557993,663719,879268,909823,926661,1017407,1185866,1285093,1398155,1488933.0,1596742.0,1736564.0,1889058.0,1991159.0,2034120.0,2113551.0,2125601.0
