Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Acrelândia (AC),39622,49216,59175,64688,70531,77840,88512,94180,121915,142761,162199,214652.0,207822.0,212961.0,239610.0,229644.0,253138.0,253152.0,302445.0
Assis Brasil (AC),12789,14615,17655,21730,23897,27928,33614,35412,42017,46581,52805,64602.0,73332.0,77234.0,85322.0,91743.0,89875.0,92705.0,96920.0
Brasiléia (AC),72997,86058,84638,93666,98895,115290,135316,159564,190699,203479,238704,294874.0,340917.0,388114.0,388521.0,388018.0,439547.0,454009.0,480142.0
Bujari (AC),26743,35776,37349,48281,49392,52408,58876,61525,86265,102702,107914,120210.0,129895.0,147868.0,159696.0,158301.0,158191.0,159100.0,183818.0
Capixaba (AC),32492,39317,44898,49156,55225,63085,62790,73183,108531,116149,129649,158800.0,149067.0,160134.0,177480.0,170990.0,164238.0,152806.0,145318.0
Cruzeiro do Sul (AC),262002,292422,324891,370047,400265,490308,598083,681822,771040,758483,838657,969784.0,1150664.0,1060536.0,1223340.0,1287867.0,1401490.0,1439760.0,1516381.0
Epitaciolândia (AC),53797,63961,74137,82175,88121,106140,128588,134228,144997,159664,185761,268087.0,257492.0,276370.0,412261.0,435952.0,440177.0,422617.0,432928.0
Feijó (AC),72819,85351,96864,113396,126198,127550,145960,172904,200521,205065,224521,267203.0,309503.0,322418.0,344518.0,350880.0,366052.0,362490.0,392931.0
Jordão (AC),14549,16801,16035,19384,22421,29461,35573,38247,41234,45671,52136,58271.0,70473.0,72755.0,73737.0,78628.0,78138.0,82098.0,84908.0
Mâncio Lima (AC),31111,37374,36445,42196,47814,56848,67172,80406,95419,104768,121766,150136.0,187729.0,179969.0,201077.0,194421.0,201048.0,205214.0,230863.0
Manoel Urbano (AC),19936,23897,24246,25763,29299,33642,43863,50075,55803,59548,66179,80018.0,94643.0,118697.0,128845.0,135401.0,138288.0,131637.0,137420.0
Marechal Thaumaturgo (AC),26714,31868,31589,36659,39493,58814,69574,84039,96005,94956,119709,146339.0,162375.0,159654.0,176112.0,195344.0,192055.0,194430.0,214547.0
